# CONTX Functions Raw
# Generated from source scan on 2026-02-09T08:43:18.393Z
source	name	kind
src/screens/LeadForm.js:66	onFollowUpChange	const-fn
src/screens/LeadForm.js:71	onAppointmentChange	const-fn
src/screens/LeadForm.js:76	onTargetChange	const-fn
src/screens/LeadForm.js:84	fetchCampaigns	const-fn
src/screens/LeadForm.js:107	fetchUsers	const-fn
src/screens/LeadForm.js:136	handleChange	const-fn
src/screens/LeadForm.js:141	loadUserData	const-fn
src/screens/LeadForm.js:155	captureImage	const-fn
src/screens/LeadForm.js:181	handleImagePick	const-fn
src/screens/LeadForm.js:193	handleSubmit	const-fn
src/screens/Loader.js:5	Loader	const-fn
src/screens/Minutes.js:13	Minutes	const-fn
src/screens/Minutes.js:28	handleMinutesEdit	const-fn
src/screens/Minutes.js:32	onDateChange	const-fn
src/screens/Minutes.js:37	handleDocumentPick	const-fn
src/screens/Minutes.js:54	handleMinuteSubmit	const-fn
src/screens/Minutes.js:107	fetchMinutes	const-fn
src/screens/Minutes.js:130	renderHeader	const-fn
src/screens/MobilePayment.js:9	MobilePayment	const-fn
src/screens/MobilePayment.js:10	renderHeader	const-fn
src/screens/MobilePayment.js:14	renderContent	const-fn
src/screens/Mode.js:4	Mode	const-fn
src/screens/Modules.js:15	Modules	const-fn
src/screens/Modules.js:27	fetchMenuData	const-fn
src/screens/Modules.js:53	renderHeader	const-fn
src/screens/Modules.js:61	handleModuleClick	const-fn
src/screens/Modules.js:70	handleSubModuleClick	const-fn
src/screens/Modules.js:79	navigateToWebView	const-fn
src/screens/MyComponent.js:12	MySidebarComponent	const-fn
src/screens/MyComponent.js:21	fetchSideMenuData	const-fn
src/screens/MyComponent.js:32	fetchModulesData	const-fn
src/screens/MyComponent.js:43	fetchModulesPData	const-fn
src/screens/MyComponent.js:54	fetchModulesPSData	const-fn
src/screens/MyComponent.js:73	toggleMenu	const-fn
src/screens/MyComponent.js:77	toggleSubMenu	const-fn
src/screens/MyComponent.js:81	toggleSubSubMenu	const-fn
src/screens/MyJobs.js:13	MyJobs	const-fn
src/screens/MyJobs.js:22	toggleMenu	const-fn
src/screens/MyJobs.js:32	fetchStorageData	const-fn
src/screens/MyJobs.js:72	handleAcceptJob	const-fn
src/screens/MyJobs.js:112	handleOutsidePress	const-fn
src/screens/NewPassword.js:8	NewPassword	const-fn
src/screens/NewPassword.js:9	renderHeader	const-fn
src/screens/NewPassword.js:13	renderContent	const-fn
src/screens/Nexisbot.js:6	Nexisbot	function
src/screens/Nexisbot.js:29	onSpeechResultsHandler	const-fn
src/screens/Nexisbot.js:37	onSpeechEndHandler	const-fn
src/screens/Nexisbot.js:43	onSpeechErrorHandler	const-fn
src/screens/Nexisbot.js:48	startRecording	const-fn
src/screens/Nexisbot.js:70	stopRecording	const-fn
src/screens/Nexisbot.js:80	toggleRecording	const-fn
src/screens/Nexisbot.js:84	startTimer	const-fn
src/screens/Nexisbot.js:91	stopTimer	const-fn
src/screens/Nexisbot.js:96	formatTime	const-fn
src/screens/Nextbot.js:13	Nextbot	const-fn
src/screens/Nextbot.js:24	androidPermissionChecking	const-fn
src/screens/Nextbot.js:55	onSpeechStart	const-fn
src/screens/Nextbot.js:59	onSpeechEnd	const-fn
src/screens/Nextbot.js:64	onSpeechResults	const-fn
src/screens/Nextbot.js:71	startListening	const-fn
src/screens/Nextbot.js:80	stopListening	const-fn
src/screens/Notifications.js:12	Notifications	const-fn
src/screens/Notifications.js:21	fetchPendingTasks	const-fn
src/screens/Notifications.js:50	fetchTodayShifts	const-fn
src/screens/Notifications.js:82	formatDate	const-fn
src/screens/Notifications.js:91	getTodayDate	const-fn
src/screens/Notifications.js:96	renderHeader	const-fn
src/screens/Notifications.js:100	renderTitle	const-fn
src/screens/Notifications.js:114	renderContent	const-fn
src/screens/Onboard.js:7	Onboard	const-fn
src/screens/Onboard.js:10	renderHeader	const-fn
src/screens/Onboarding.js:49	Onboarding	const-fn
src/screens/Onboarding.js:57	checkUserStatus	const-fn
src/screens/Onboarding.js:83	completeOnboarding	const-fn
src/screens/Onboarding.js:88	completeOnboardings	const-fn
src/screens/Onboarding.js:94	checkLocationPermission	function
src/screens/Onboarding.js:106	toggleTheme	const-fn
src/screens/Onboarding.js:119	updateCurrentSlideIndex	const-fn
src/screens/Onboarding.js:125	renderStatusBar	const-fn
src/screens/Onboarding.js:135	renderImageBackground	const-fn
src/screens/Onboarding.js:148	renderSlides	const-fn
src/screens/Onboarding.js:231	renderDots	const-fn
src/screens/Onboarding.js:268	renderButton	const-fn
src/screens/Onboarding.js:333	renderToggleButton	const-fn
src/screens/OpenDeposit.js:48	OpenDeposit	const-fn
src/screens/OpenDeposit.js:54	renderHeader	const-fn
src/screens/OpenDeposit.js:64	renderCurrency	const-fn
src/screens/OpenDeposit.js:147	renderContent	const-fn
src/screens/OpenDeposit.js:385	renderFooter	const-fn
src/screens/OpenMoneybox.js:21	OpenMoneybox	const-fn
src/screens/OpenMoneybox.js:25	renderHeader	const-fn
src/screens/OpenMoneybox.js:29	renderContent	const-fn
src/screens/OpenMoneybox.js:300	renderFooter	const-fn
src/screens/OpenNewCard.js:27	OpenNewCard	const-fn
src/screens/OpenNewCard.js:32	renderHeader	const-fn
src/screens/OpenNewCard.js:45	renderType	const-fn
src/screens/OpenNewCard.js:122	renderCurrency	const-fn
src/screens/OpenNewCard.js:203	renderPaymentSystem	const-fn
src/screens/OpenNewCard.js:280	renderCards	const-fn
src/screens/OpenNewCard.js:308	renderDescription	const-fn
src/screens/OpenNewCard.js:326	renderBar	const-fn
src/screens/OpenNewCard.js:374	renderContent	const-fn
src/screens/OpenNewCard.js:391	renderButton	const-fn
src/screens/OpenNewLoan.js:42	OpenNewLoan	const-fn
src/screens/OpenNewLoan.js:47	renderHeader	const-fn
src/screens/OpenNewLoan.js:57	renderCurrency	const-fn
src/screens/OpenNewLoan.js:140	renderContent	const-fn
src/screens/OpenNewLoan.js:330	renderFooter	const-fn
src/screens/PaymentFailed.js:14	PaymentFailed	const-fn
src/screens/PaymentFailed.js:15	renderContent	const-fn
src/screens/PaymentFailed.js:74	renderFooter	const-fn
src/screens/Payments.js:61	Payments	const-fn
src/screens/Payments.js:62	renderHeader	const-fn
src/screens/Payments.js:66	renderContent	const-fn
src/screens/PaymentSuccess.js:14	PaymentSuccess	const-fn
src/screens/PaymentSuccess.js:15	renderContent	const-fn
src/screens/PaymentSuccess.js:74	renderFooter	const-fn
src/screens/PrivacyPolicy.js:11	PrivacyPolicy	const-fn
src/screens/PrivacyPolicy.js:12	renderHeader	const-fn
src/screens/PrivacyPolicy.js:16	renderContent	const-fn
src/screens/Profile.js:17	Profile	const-fn
src/screens/Profile.js:52	fetchProfileData	const-fn
src/screens/Profile.js:140	fetchUsername	const-fn
